Site,SampleID,Depth,Age,Events,Na,Mg,Al,P,K,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Pb,Th,U,CaCO3,d13C,d18O,SREY,Ca
762C,12X-3 42,268.43,40.81917882,Bartonian,0.622105185,0.25428763,0.556212801,0.035782241,0.296785945,1.374866985,0.034662179,16.2412758,0.022385322,0.493167817,1.543288893,8.773025995,13.35492488,20.93862691,7.944772999,1065.918885,8.1732622,9.592209818,0.998600106,0.087090008,0.433693327,619.670705,6.149971689,6.402067265,1.079782256,4.190038478,0.78078661,0.220392829,0.964400102,0.138856245,0.939833653,0.205517041,0.641088422,0.088364093,0.54841053,0.081954589,0.279211356,3.067527131,1.148504179,0.120009411,88.456429,1.914710836,0.290652908,30.604726,33.09293698
762C,12X-3 79,268.8,40.83528635,Bartonian,0.68410726,0.263366387,0.744231781,0.039083689,0.390853139,1.715036119,0.047175644,19.78318277,0.018922843,0.646149218,1.705067754,9.604850284,13.05567486,21.65593854,10.79583845,1207.628871,9.793234825,14.48982526,1.428599064,0.099603264,0.557791341,644.816959,7.409695022,8.09236703,1.386798459,5.546220208,1.036431198,0.264006823,1.248796702,0.176231278,1.195676584,0.255379552,0.770696062,0.108245044,0.659337203,0.099566561,0.40477465,3.484799373,1.528894982,0.162692509,85.35507135,1.984783275,0.167750855,38.04268255,32.20824694
762C,12X-3 99,269,40.84399313,Bartonian,0.701972033,0.260796173,0.667371193,0.049423086,0.359337865,1.759521746,0.04032099,17.79547743,0.020355882,0.560874613,1.508794259,8.4314625,11.13372143,19.21060402,9.787282863,1170.101858,9.353004123,11.96599927,1.220226994,0.1497949,0.532354681,675.6684069,7.176199063,7.475784632,1.262062013,5.149866361,0.956253883,0.252275767,1.150156915,0.165723607,1.107359486,0.241134922,0.739562959,0.098894602,0.633610481,0.092256385,0.345215485,3.258809526,1.343449209,0.147863624,86.48102002,1.905106938,0.223437259,35.8541452,31.86648135
762C,12X-3 137,269.38,40.860536,Bartonian,0.78311075,0.292982213,0.825178336,0.046645586,0.406889946,1.878202832,0.045958894,21.48722604,0.018721682,0.695028372,1.807590212,8.696775887,9.693099071,19.49773889,12.15240534,1170.617595,10.4194349,14.14748977,1.439272946,0.144720177,0.614684697,612.8074368,7.861264447,9.215487391,1.46843774,5.888346923,1.086227362,0.291069466,1.303005219,0.186217429,1.212582577,0.25715862,0.793021039,0.109785608,0.669161952,0.100426316,0.407559472,3.581755293,1.689284281,0.168474909,84.66962638,1.807485546,0.089306324,40.86162699,30.25501691
762C,12X-4 9,269.6,40.87139244,Bartonian,0.669041936,0.251731716,0.663622042,0.035777702,0.324892333,1.624513744,0.041842634,18.63639741,0.020088852,0.5536093,1.464141356,8.200836852,8.22276709,21.07262898,9.887953077,1143.007481,9.176838043,11.2506413,1.189374785,0.224563992,0.502365103,585.1310311,7.135801412,7.494179022,1.262729971,5.093002913,0.933696714,0.247077851,1.145083311,0.160772514,1.054395559,0.239932529,0.711049609,0.098994038,0.613288724,0.090198783,0.33095136,3.724901839,1.371741036,0.140265649,87.36037643,1.90064766,0.216283268,35.45704099,29.90725907
762C,12X-4 39,269.9,40.88619667,Bartonian,0.634197355,0.243814799,0.532006314,0.038534377,0.261411111,1.389477189,0.036876029,17.91248381,0.023214817,0.470610373,1.478526297,7.559193188,8.526372662,15.62121108,7.689171588,1105.985869,9.494794294,9.668450144,1.030004976,0.092353894,0.385340571,626.0656814,6.78157709,6.630667203,1.166179236,4.76903313,0.867445013,0.233591982,1.118198375,0.154330259,1.092720788,0.235069687,0.737771401,0.104586307,0.612960361,0.096198595,0.296870552,3.097855815,1.16005784,0.129202154,88.03710423,1.926366199,0.363145318,34.09512372,30.70522167
762C,12X-4 69,270.2,40.9010009,Bartonian,0.720147859,0.250104203,0.679818181,0.041480916,0.332868214,1.605989883,0.043674514,21.75685936,0.019560339,0.599289666,1.81099606,8.8477328,9.932825078,17.27904452,9.77988673,1269.492821,10.43594809,12.75511566,1.317021074,0.129040542,0.485272791,656.7108073,7.953140022,8.433749331,1.448127223,5.685997277,1.10493555,0.282628359,1.315265634,0.186035194,1.214188079,0.27385609,0.79710037,0.110850365,0.68994444,0.105955023,0.374771368,3.386267225,1.491694668,0.147472836,86.23533851,1.81588633,0.043044698,40.03772105,30.28931039
762C,12X-4 99,270.5,40.91580513,Bartonian,0.727499445,0.241085349,0.665504135,0.036551489,0.345879663,1.703495415,0.042294018,23.12467253,0.017963506,0.613739057,1.566246286,9.126097247,7.079202135,17.51126998,10.19398832,1254.016017,9.641088818,11.69205287,1.186528186,0.137303134,0.506058996,490.9726554,7.524214443,7.98739412,1.321152643,5.282252095,1.035591837,0.229633641,1.137675933,0.165159606,1.091214843,0.244710398,0.753298127,0.102284874,0.644195137,0.093816253,0.348909086,3.311342796,1.428862649,0.138194315,86.46243268,1.89665383,0.062578467,37.25368277,30.08232449
762C,12X-4 137,270.88,40.93455715,Bartonian,0.602913291,0.230030401,0.502818433,0.047158152,0.261968268,1.45375985,0.029690589,22.23882567,0.01998644,0.477753545,1.381879355,7.583957318,6.712275383,15.74433439,7.916506097,1081.078283,10.1005939,9.661835461,0.998149933,0.109717252,0.386380442,646.5425748,7.008988609,6.737191052,1.148122814,4.813882842,0.934983268,0.208723427,1.107605854,0.155299742,1.084510401,0.242244356,0.742270194,0.100754173,0.650145893,0.09278167,0.291174721,3.000962345,1.180071967,0.127074854,89.81071219,1.721857512,0.229507394,35.1280982,30.1356113
762C,12X-5 9,271.1,40.94541359,Lutetian,0.734909922,0.242809617,0.580788136,0.040325499,0.320424556,1.488855591,0.039154941,26.11614081,0.021315039,0.508817333,1.345554536,7.950754069,6.329491835,15.99724564,9.257493348,1132.942647,10.62567365,10.8731124,1.143181696,0.096813658,0.453393346,635.2614537,7.629971917,7.346436242,1.264416108,5.155566828,1.01271007,0.211830901,1.230688688,0.165639569,1.146190143,0.256064872,0.784831411,0.106778546,0.67273192,0.09829276,0.314721909,3.715111106,1.323971496,0.136163384,87.19094426,1.890655665,0.270146132,37.70782363,30.42224864
